UabDefec	D50541
UacPedis	AB303221
UadPhyto	AJ812213
UaeElong	AY487928
O46BCTm2	HM989805
UafRumin	M59083
UagCellu	L35516
UagEthan	FR749897
UahNoter	GU562448
UaiAceti	X74066
UaiCerev	AJ419843
UaiCibin	AB052710
UaiEstun	AJ419838
UaiFabar	AM905849
UaiOrlea	AB602333
UaiGhane	EF030713
UaiIndon	AB032356
UaiLambi	HF969863
UaiLovan	AB032351
UaiMalor	AJ419844
UaiNitro	AY669513
UaiAOeni	AY829472
UaiOkina	AB665068
UaiOrien	AB052706
UaiOrle2	AB032350
UaiPapay	AB665066
UaiPaste	FM178866
UaiPast2	GU205100
UaiPast3	X71863
UaiPerox	AB032352
UaiPersi	AB665070
UaiPomor	AJ419835
UaiSeneg	AY883036
UaiAcet2	AJ419840
UaiSyzyg	AB052712
UaiTropi	AB032355
UajBakii	X96960
UajCarbi	X96956
UajFimet	X96959
UajMalic	X96957
UajPalud	X96958
UajTundr	AJ297449
UajWieri	X96955
UajWoodi	X96954
UwqBac52	AB611036
UakAraba	CP002105
UalFaeca	FR749980
UalFlavi	FR733692
UamLongu	AJ010964
UanAxant	AF412968
UanBrass	AY538163
UanCavig	AY538164
UanEquif	AY538165
UanGranu	AY538166
UanHippi	AY538167
UanLaidl	U14905
UanModic	M23933
UanMorum	AY538168
UanOculi	U14904
UanPalma	L33734
UanParvu	AY538170
UanPleci	AY257485
UanVitul	AF031479
UaoAegri	HF586507
UaoAnimi	HE613448
UaoAnxif	HF586508
UaoDenit	AJ278451
UaoDolen	HF586509
UaoInsol	AY170847
UaoInsua	HF586506
UaoMarpl	EU150134
UaoMucic	HE613446
UaoPiech	AB010841
UaoPulmo	HE798552
UaoRuhla	AB010840
UaoSpeci	KC986352
UaoSpani	AY170848
UaoSpiri	HE613447
UaoXylos	Y14908
UapHydro	AF016691
UaqFerme	X78017
UaqIntes	AF473835
AciAmbiv	D85506
AciBrier	D26489
AciInfer	D85505
AciSulfi	AY907891
UarOrgan	AY140238
UasBorea	FR774763
UasLigni	EU780204
UatThioo	AF387301
AclAceti	AF191225
AclSacch	AY350586
UauFerro	U75647
UavAcido	D86511
UavAngus	D30772
UavCrypt	D30773
UavSpe13	AB561883
UavMulti	AB006711
UavOrgan	D30775
UavRubru	D30776
AcpAeoli	AM943980
AcpCupri	AY907888
UawSibir	AM947653
UawTundr	AM947652
UaxRubri	D86512
UayFerri	AB517669
UazAlber	AJ459804
UazCaldu	Z29975
UazFerr2	AJ278719
UazFerri	AF376020
UazFerro	AF465604
UazThioo	Y11596
UbaCapsu	CP001472
UbbAlumi	AB362219
UbbAmino	D30771
UbbFacil	D30774
UbcMetha	X77468
UbdCellu	CP000481
UbeAnthu	AJ007013
UbeAvena	AF137505
UbeCaeni	AM084006
UbeCattl	AF137504
UbeCitru	AF137506
UbeDeflu	Y18616
UbeDelaf	AF078764
UbeFacil	AF078765
UbeKonja	AJ420325
UbeAven2	DQ360414
UbeRadic	HM027578
UbeSpeci	FJ599672
UbeTempe	AF078766
UbeValer	AJ431731
UbeSpec2	JQ946365
UbfSp475	JX402203
UbfBauma	X81660
UbfBayly	AF509820
UbfBeije	AJ626712
UbfSpeci	Z93443
UbfBohem	KF679797
UbfBoiss	JQ771141
UbfBouve	AF509827
UbfBriso	DQ832256
UbfCalco	AJ888983
UbfGande	KM206131
UbfGerne	AF509829
UbfSp350	JQ608323
UbfSpec2	X81659
UbfGylle	AJ293694
UbfHaemo	X81662
UbfSpe14	KC843488
UbfIndic	HM047743
UbfJohns	Z93440
UbfJunii	X81664
UbfSpec5	JX137279
UbfLwoff	X81665
UbfNecta	JQ771132
UbfNosoc	HQ180192
UbfPakis	AB916465
UbfParvu	AJ293691
UbfPitti	HQ180184
